"Extension","Level","Install date","EP"
"Economical shield usage","7","2215-05-20 00:49:48","-3780"
"Economical armor usage","7","2215-05-20 00:40:00","-1260"
"Economical armor usage","6","2215-05-20 00:39:45","-720"
"Pelistal robot control","8","2215-05-18 08:00:13","-17280"
"Spec. ops. robot control","5","2215-05-18 08:00:07","5760"
"Spec. ops. robot control","6","2215-05-18 08:00:05","10080"
"Spec. ops. robot control","7","2215-05-18 08:00:02","15360"
"Pelistal robot control","7","2215-05-10 19:00:09","-11340"
"Nuimqol robot control","10","2215-05-09 23:37:18","-54000"
"Propellant mixing","5","2215-05-09 23:37:10","2160"
"Seismics","5","2215-05-09 23:37:07","2160"
"Missile launch","5","2215-05-09 23:37:02","720"
"Missile guidance","5","2215-05-09 23:36:56","4320"
"Complex missile launch","5","2215-05-09 23:36:46","2160"
"Basic ballistics","6","2215-05-09 23:36:03","3780"
"Basic ballistics","7","2215-05-09 23:36:00","5760"
"Basic ballistics","8","2215-05-09 23:35:58","8100"
"Basic ballistics","9","2215-05-09 23:35:55","-8100"
"Industrial robot control","0","2215-05-09 23:35:27","540"
"Industrial robot control","1","2215-05-09 23:35:25","1080"
"Industrial robot control","2","2215-05-09 23:35:23","1620"
"Industrial robot control","3","2215-05-09 23:35:21","2160"
"Pelistal robot control","6","2215-05-09 23:35:05","11340"
"Pelistal robot control","7","2215-05-09 23:34:57","17280"
"Accounting","0","2215-05-09 23:34:34","60"
"Tax reduction","0","2215-05-09 23:34:23","60"
"Pelistal robot control","8","2215-05-06 16:27:17","-17280"
"Nuimqol robot control","9","2215-05-06 16:27:09","-24300"
"Optimized engineering","6","2215-05-01 15:23:29","-1440"
"Signal masking","8","2215-04-29 21:53:44","-9600"
"Signal masking","7","2215-04-29 21:53:43","-6300"
"Convergent electrostatics","5","2215-04-29 21:52:55","-2100"
"Convergent electrostatics","4","2215-04-29 21:52:53","-1680"
"Convergent electrostatics","3","2215-04-29 21:52:52","-1260"
"Convergent electrostatics","2","2215-04-29 21:52:50","-840"
"Convergent electrostatics","1","2215-04-29 21:52:49","-420"
"Long range engineering","5","2215-04-29 21:52:41","-2100"
"Long range engineering","4","2215-04-29 21:52:40","-1680"
"Long range engineering","3","2215-04-29 21:52:38","-1260"
"Long range engineering","2","2215-04-29 21:52:37","-840"
"Improved energy neutralization","5","2215-04-29 21:52:22","-2100"
"Improved energy neutralization","4","2215-04-29 21:52:21","-1680"
"Improved energy neutralization","3","2215-04-29 21:52:19","-1260"
"Improved energy drain","5","2215-04-29 21:52:17","-1800"
"Improved energy drain","4","2215-04-29 21:52:15","-1440"
"Improved energy drain","3","2215-04-29 21:52:13","-1080"
"Improved energy drain","2","2215-04-29 21:52:11","-720"
"Improved energy neutralization","2","2215-04-29 21:52:10","-840"
"Advanced ballistics","1","2215-04-29 21:42:15","-240"
"Propellant mixing","6","2215-04-28 00:49:07","-2160"
